Station_ID,date_time,nwp_globalirrad,nwp_directirrad,nwp_temperature,nwp_humidity,lmd_totalirrad,lmd_diffuseirrad,lmd_temperature,power
station02,2018-07-23 00:00:00,121.76,101.62,27.39,73.27,234,165,25.9,3.5401800000000003
station02,2018-07-23 00:15:00,117.98,92.95,27.37,73.74,252,204,26.1,4.35666
station02,2018-07-23 00:30:00,151.82,127.3,27.52,73.76,126,111,26.4,2.17497
station02,2018-07-23 00:45:00,206.97,187.57,27.88,72.69,105,95,26.4,2.1483
station02,2018-07-23 01:00:00,212.68,191.95,27.98,72.2,119,107,26.700001,2.23062
station02,2018-07-23 01:15:00,157.61,128.06,27.74,73.38,74,74,26.700001,1.30347
station02,2018-07-23 01:30:00,115.37,82.27,27.41,74.71,61,59,26.700001,0.8862
station02,2018-07-23 01:45:00,89.39,21.56,27.21,76.06,61,59,26.6,1.2291299999999998
station02,2018-07-23 02:00:00,79.65,45.42,27.33,75.89,66,64,26.6,1.14954
station02,2018-07-23 02:15:00,196.41,156.12,28.29,71.85,171,155,27.0,2.50572
station02,2018-07-23 02:30:00,287.77,264.71,29.21,68.69,270,227,27.299999,5.67903
station02,2018-07-23 02:45:00,309.89,289.24,29.81,66.38,393,352,27.4,5.6771400000000005
station02,2018-07-23 03:00:00,316.66,295.85,30.25,65.57,173,172,27.6,2.46771
station02,2018-07-23 03:15:00,328.69,307.45,30.69,63.72,556,480,27.9,7.10493
station02,2018-07-23 03:30:00,348.79,326.46,31.0,62.3,450,404,28.4,4.69581
station02,2018-07-23 03:45:00,391.11,366.34,31.25,61.25,149,138,28.799999,2.44335
station02,2018-07-23 04:00:00,448.06,419.84,31.47,60.68,99,91,28.6,1.51704
station02,2018-07-23 04:15:00,501.54,470.12,31.69,59.41,224,214,28.200001,3.03954
station02,2018-07-23 04:30:00,525.53,492.67,31.91,57.63,127,139,28.1,1.6632
station02,2018-07-23 04:45:00,511.39,479.4,32.06,56.55,201,188,28.4,2.61114
station02,2018-07-23 05:00:00,465.77,436.55,32.22,56.14,243,236,28.9,3.697891
station02,2018-07-23 05:15:00,406.21,380.52,32.39,55.11,227,198,28.9,4.868011
station02,2018-07-23 05:30:00,359.23,336.35,32.49,55.06,224,206,29.700001,3.73737
station02,2018-07-23 05:45:00,330.84,309.47,32.55,55.3,740,627,31.0,11.46768
station02,2018-07-23 06:00:00,319.23,298.37,32.63,55.33,665,574,30.5,8.58732
station02,2018-07-23 06:15:00,308.63,288.04,32.69,55.29,235,209,31.1,5.8233
station02,2018-07-23 06:30:00,301.15,280.72,32.71,55.4,590,335,30.700001,9.63165
station02,2018-07-23 06:45:00,5.83,0.0,30.99,60.02,620,305,31.0,10.68858
station02,2018-07-23 07:00:00,5.58,0.0,30.49,62.81,615,270,31.200001,10.94562
station02,2018-07-23 07:15:00,1.33,0.0,30.13,64.6,595,230,31.4,10.41369
station02,2018-07-23 07:30:00,1.26,0.0,29.91,65.85,559,208,32.099998,9.978991
